Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
156 CINEMEX METRO CENTRO HERMOSILLO PREMIUM,OPERADORA DE CINEMAS,31 a 50 personas,AVENIDA,LUIS DONALDO COLOSIO MURRIETA,,COLONIA,PLAZA DE LAS FRANQUICIAS,83200,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,2941,29.08541122,-110.9851655,2010-07
161 CINEMEX MIRADOR HERMOSILLO TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,JOSE MARIA MORELOS ,549,COLONIA,BACHOCO,83148,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,2458,29.12479258,-110.9513593,2010-07
172 CINEMEX NAVOJOA TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,CALLE,GENERAL IGNACIO PESQUEIRA (PROLONGACIÓN NORTE),807,COLONIA,REFORMA,85830,26,SONORA,42,Navojoa,1,Navojoa                                                                                                       ,1041,27.09152019,-109.4462963,2014-12
192 CINEMEX PASEO SOLIDARIDAD TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,SOLIDARIDAD,650,COLONIA,ADOLFO LÓPEZ MATEOS,83130,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,565A,29.1125184,-110.9926226,2019-11
2 CINEMEX NACOZARI ,OPERADORA DE CINEMAS,6 a 10 personas,CALLE,MONTAÑAS ROCALLOSAS,,COLONIA,AMERICANA,84340,26,SONORA,41,Nacozari de García,1,Nacozari de García                                                                                            ,192,30.37665087,-109.6839336,2014-12
275 CINEMEX SUN MALL HERMOSILLO TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,BOULEVARD,ALFÉREZ JUAN BAUTISTA DE ESCALANTE,507,COLONIA,ALMACEN,83117,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,6022,29.14458629,-110.9921491,2016-10
3 CINEMEX CANANEA ,OPERADORA DE CINEMAS,11 a 30 personas,OTRO(ESPECIFIQUE),AGUA PRIETA - CANANEA,0,OTRO,PARQUE TAMOSURA,84623,26,SONORA,19,Cananea,1,Heroica Ciudad de Cananea                                                                                     ,755,30.99746374,-110.2540656,2019-11
72 CINEMEX ENCINAS TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,JESUS GARCIA MORALES ,2,COLONIA,EL LLANO,83210,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,2655,29.09381312,-110.9935245,2014-12
CINEMEX,OPERADORA DE CINEMAS,11 a 30 personas,CALLE,NINGUNO,,COLONIA,MIRAMAR,85440,26,SONORA,29,Guaymas,1,Heroica Guaymas                                                                                               ,2796,27.9297229,-110.9250613,2026-04
CINEMEX,OPERADORA DE CINEMAS,6 a 10 personas,BOULEVARD,AGUA PRIETA - CANANEA,0,COLONIA,PARQUE TAMOSURA,84623,26,SONORA,19,Cananea,1,Heroica Ciudad de Cananea                                                                                     ,755,30.99746374,-110.2540656,2026-04
CINEMEX PASEO SOLIDARIDAD,OPERADORA DE CINEMAS,0 a 5 personas,BOULEVARD,SOLIDARIDAD,,COLONIA,LIBERTAD,83130,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,565A,29.11271915,-110.9926232,2020-11
